file_id	input_path	n_cells_in	n_points_in	status	notes
MR01-K05_leg2_bathymetry_dmo::20011022.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011022.parquet	1345	760974	ok	
MR01-K05_leg2_bathymetry_dmo::20011023.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011023.parquet	971	793286	ok	
MR01-K05_leg2_bathymetry_dmo::20011103.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011103.parquet	2753	810125	ok	
MR01-K05_leg2_bathymetry_dmo::20011101.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011101.parquet	2348	1032904	ok	
MR01-K05_leg2_bathymetry_dmo::20011027.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011027.parquet	2848	623536	ok	
MR01-K05_leg2_bathymetry_dmo::20011105.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011105.parquet	107	274440	ok	
MR01-K05_leg2_bathymetry_dmo::20011019.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011019.parquet	575	997394	ok	
MR01-K05_leg2_bathymetry_dmo::20011029.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011029.parquet	352	171995	ok	
MR01-K05_leg2_bathymetry_dmo::20011031.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011031.parquet	608	311043	ok	
MR01-K05_leg2_bathymetry_dmo::20011102.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011102.parquet	1801	1016983	ok	
MR01-K05_leg2_bathymetry_dmo::20011025.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011025.parquet	720	612263	ok	
MR01-K05_leg2_bathymetry_dmo::20011024.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011024.parquet	2193	704278	ok	
MR01-K05_leg2_bathymetry_dmo::20011028.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011028.parquet	2162	700600	ok	
MR01-K05_leg2_bathymetry_dmo::20011104.dat	derived/file_cells_1min/MR01-K05_leg2_bathymetry_dmo__20011104.parquet	1243	805479	ok	
KR12-20_bathymetry_dmo::20130105.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20130105.parquet	178	31863	ok	
KR12-20_bathymetry_dmo::T20121223.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__T20121223.parquet	86	435794	ok	
KR12-20_bathymetry_dmo::20130101.dat	derived/file_cells_1min/KR12-20_bathymetry_dmo__20130101.parquet	742	699104	ok	
