file_id	subzip_id	relative_path	filename	ext	size_bytes	line_count	col_count	is_ascii	has_header	lon_min	lon_max	lat_min	lat_max	depth_min	depth_max	depth_sign	status	notes	first_lines	used_for_points	data_layout	lon_col	lat_col	depth_col	date_col	time_col	sonar_idx_col	cruise_id_guess	date_guess	track_kind
MR07-05_bathymetry_dmo::darwin-data-mirai-mr07-05-bathymetry_e.pdf	MR07-05_bathymetry_dmo	MR07-05_bathymetry_dmo/darwin-data-mirai-mr07-05-bathymetry_e.pdf	darwin-data-mirai-mr07-05-bathymetry_e.pdf	.pdf	552745												non_dat			False	unknown_or_non_bathymetry									
KR13-19_bathymetry_dmo::terms_conditions_eng.pdf	KR13-19_bathymetry_dmo	KR13-19_bathymetry_dmo/terms_conditions_eng.pdf	terms_conditions_eng.pdf	.pdf	48268												non_dat			False	unknown_or_non_bathymetry									
KR13-19_bathymetry_dmo::darwin-data-kairei-kr13-19-bathymetry_e.pdf	KR13-19_bathymetry_dmo	KR13-19_bathymetry_dmo/darwin-data-kairei-kr13-19-bathymetry_e.pdf	darwin-data-kairei-kr13-19-bathymetry_e.pdf	.pdf	811697												non_dat			False	unknown_or_non_bathymetry									
KR13-19_bathymetry_dmo::terms_conditions_jp.pdf	KR13-19_bathymetry_dmo	KR13-19_bathymetry_dmo/terms_conditions_jp.pdf	terms_conditions_jp.pdf	.pdf	68731												non_dat			False	unknown_or_non_bathymetry									
KR13-19_bathymetry_dmo::darwin-data-kairei-kr13-19-bathymetry_j.pdf	KR13-19_bathymetry_dmo	KR13-19_bathymetry_dmo/darwin-data-kairei-kr13-19-bathymetry_j.pdf	darwin-data-kairei-kr13-19-bathymetry_j.pdf	.pdf	913476												non_dat			False	unknown_or_non_bathymetry									
KR17-06_bathymetry_dmo::terms_conditions_eng.pdf	KR17-06_bathymetry_dmo	KR17-06_bathymetry_dmo/terms_conditions_eng.pdf	terms_conditions_eng.pdf	.pdf	48268												non_dat			False	unknown_or_non_bathymetry									
KR17-06_bathymetry_dmo::darwin-data-kairei-kr17-06-bathymetry_j.pdf	KR17-06_bathymetry_dmo	KR17-06_bathymetry_dmo/darwin-data-kairei-kr17-06-bathymetry_j.pdf	darwin-data-kairei-kr17-06-bathymetry_j.pdf	.pdf	738309												non_dat			False	unknown_or_non_bathymetry									
KR17-06_bathymetry_dmo::terms_conditions_jp.pdf	KR17-06_bathymetry_dmo	KR17-06_bathymetry_dmo/terms_conditions_jp.pdf	terms_conditions_jp.pdf	.pdf	68731												non_dat			False	unknown_or_non_bathymetry									
KR17-06_bathymetry_dmo::darwin-data-kairei-kr17-06-bathymetry_e.pdf	KR17-06_bathymetry_dmo	KR17-06_bathymetry_dmo/darwin-data-kairei-kr17-06-bathymetry_e.pdf	darwin-data-kairei-kr17-06-bathymetry_e.pdf	.pdf	815721												non_dat			False	unknown_or_non_bathymetry									
KM16-09_bathymetry_dmo::darwin-data-kaimei-km16-09-bathymetry_e.pdf	KM16-09_bathymetry_dmo	KM16-09_bathymetry_dmo/darwin-data-kaimei-km16-09-bathymetry_e.pdf	darwin-data-kaimei-km16-09-bathymetry_e.pdf	.pdf	810229												non_dat			False	unknown_or_non_bathymetry									
KM16-09_bathymetry_dmo::terms_conditions_eng.pdf	KM16-09_bathymetry_dmo	KM16-09_bathymetry_dmo/terms_conditions_eng.pdf	terms_conditions_eng.pdf	.pdf	48268												non_dat			False	unknown_or_non_bathymetry									
KM16-09_bathymetry_dmo::terms_conditions_jp.pdf	KM16-09_bathymetry_dmo	KM16-09_bathymetry_dmo/terms_conditions_jp.pdf	terms_conditions_jp.pdf	.pdf	68731												non_dat			False	unknown_or_non_bathymetry									
KM16-09_bathymetry_dmo::darwin-data-kaimei-km16-09-bathymetry_j.pdf	KM16-09_bathymetry_dmo	KM16-09_bathymetry_dmo/darwin-data-kaimei-km16-09-bathymetry_j.pdf	darwin-data-kaimei-km16-09-bathymetry_j.pdf	.pdf	913442												non_dat			False	unknown_or_non_bathymetry									
KR17-14_leg2_bathymetry_dmo::terms_conditions_eng.pdf	KR17-14_leg2_bathymetry_dmo	KR17-14_leg2_bathymetry_dmo/terms_conditions_eng.pdf	terms_conditions_eng.pdf	.pdf	48268												non_dat			False	unknown_or_non_bathymetry									
KR17-14_leg2_bathymetry_dmo::darwin-data-kairei-kr17-14_leg2-bathymetry_e.pdf	KR17-14_leg2_bathymetry_dmo	KR17-14_leg2_bathymetry_dmo/darwin-data-kairei-kr17-14_leg2-bathymetry_e.pdf	darwin-data-kairei-kr17-14_leg2-bathymetry_e.pdf	.pdf	705786												non_dat			False	unknown_or_non_bathymetry									
KR17-14_leg2_bathymetry_dmo::darwin-data-kairei-kr17-14_leg2-bathymetry_j.pdf	KR17-14_leg2_bathymetry_dmo	KR17-14_leg2_bathymetry_dmo/darwin-data-kairei-kr17-14_leg2-bathymetry_j.pdf	darwin-data-kairei-kr17-14_leg2-bathymetry_j.pdf	.pdf	804778												non_dat			False	unknown_or_non_bathymetry									
KR17-14_leg2_bathymetry_dmo::terms_conditions_jp.pdf	KR17-14_leg2_bathymetry_dmo	KR17-14_leg2_bathymetry_dmo/terms_conditions_jp.pdf	terms_conditions_jp.pdf	.pdf	68731												non_dat			False	unknown_or_non_bathymetry									
KR13-02_bathymetry_dmo::terms_conditions_eng.pdf	KR13-02_bathymetry_dmo	KR13-02_bathymetry_dmo/terms_conditions_eng.pdf	terms_conditions_eng.pdf	.pdf	48268												non_dat			False	unknown_or_non_bathymetry									
KR13-02_bathymetry_dmo::terms_conditions_jp.pdf	KR13-02_bathymetry_dmo	KR13-02_bathymetry_dmo/terms_conditions_jp.pdf	terms_conditions_jp.pdf	.pdf	68731												non_dat			False	unknown_or_non_bathymetry									
KR13-02_bathymetry_dmo::darwin-data-kairei-kr13-02-bathymetry_e.pdf	KR13-02_bathymetry_dmo	KR13-02_bathymetry_dmo/darwin-data-kairei-kr13-02-bathymetry_e.pdf	darwin-data-kairei-kr13-02-bathymetry_e.pdf	.pdf	889881												non_dat			False	unknown_or_non_bathymetry									
KR13-02_bathymetry_dmo::darwin-data-kairei-kr13-02-bathymetry_j.pdf	KR13-02_bathymetry_dmo	KR13-02_bathymetry_dmo/darwin-data-kairei-kr13-02-bathymetry_j.pdf	darwin-data-kairei-kr13-02-bathymetry_j.pdf	.pdf	993956												non_dat			False	unknown_or_non_bathymetry									
KM20-11_bathymetry_dmo::terms_conditions_eng.pdf	KM20-11_bathymetry_dmo	KM20-11_bathymetry_dmo/terms_conditions_eng.pdf	terms_conditions_eng.pdf	.pdf	48268												non_dat			False	unknown_or_non_bathymetry									
KM20-11_bathymetry_dmo::terms_conditions_jp.pdf	KM20-11_bathymetry_dmo	KM20-11_bathymetry_dmo/terms_conditions_jp.pdf	terms_conditions_jp.pdf	.pdf	68731												non_dat			False	unknown_or_non_bathymetry									
KM20-11_bathymetry_dmo::KM20-11_bathymetry_readme_eng.pdf	KM20-11_bathymetry_dmo	KM20-11_bathymetry_dmo/KM20-11_bathymetry_readme_eng.pdf	KM20-11_bathymetry_readme_eng.pdf	.pdf	358208												non_dat			False	unknown_or_non_bathymetry									
